valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,pop,incValue,prctConsultations,valueYearCumSum,valueMean3y,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
consultations,2013-M01,month,CH,country,all,agegroup_tick,all,295.5,165475.9,645975,8139631,3.63,0.001,295.5,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-M02,month,CH,country,all,agegroup_tick,all,0,165475.9,645975,8139631,0,0,295.5,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-M03,month,CH,country,all,agegroup_tick,all,98.5,165475.9,645975,8139631,1.21,0,394,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-M04,month,CH,country,all,agegroup_tick,all,344.3,165475.9,645975,8139631,4.23,0.001,738.3,NA,rising,NA,NA,NA,NA,TRUE
consultations,2013-M05,month,CH,country,all,agegroup_tick,all,1426.9,165475.9,645975,8139631,17.53,0.004,2165.2,NA,rising,NA,NA,NA,NA,TRUE
consultations,2013-M06,month,CH,country,all,agegroup_tick,all,2459.8,165475.9,645975,8139631,30.22,0.008,4625,NA,rising,NA,NA,NA,NA,TRUE
consultations,2013-M07,month,CH,country,all,agegroup_tick,all,2065.8,165475.9,645975,8139631,25.38,0.007,6690.8,NA,rising,NA,NA,NA,NA,TRUE
consultations,2013-M08,month,CH,country,all,agegroup_tick,all,2459.8,165475.9,645975,8139631,30.22,0.008,9150.6,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2013-M09,month,CH,country,all,agegroup_tick,all,1574.2,165475.9,645975,8139631,19.34,0.005,10724.8,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2013-M10,month,CH,country,all,agegroup_tick,all,1032.9,165475.9,645975,8139631,12.69,0.003,11757.7,NA,falling,NA,NA,NA,NA,TRUE
consultations,2013-M11,month,CH,country,all,agegroup_tick,all,1032.9,165475.9,645975,8139631,12.69,0.003,12790.6,NA,falling,NA,NA,NA,NA,TRUE
consultations,2013-M12,month,CH,country,all,agegroup_tick,all,590.1,165475.9,645975,8139631,7.25,0.002,13380.7,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M01,month,CH,country,all,agegroup_tick,all,287.5,171875.8,650696,8237666,3.49,0.001,287.5,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M02,month,CH,country,all,agegroup_tick,all,144.2,171875.8,650696,8237666,1.75,0,431.7,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M03,month,CH,country,all,agegroup_tick,all,47.8,171875.8,650696,8237666,0.58,0,479.5,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M04,month,CH,country,all,agegroup_tick,all,335.3,171875.8,650696,8237666,4.07,0.001,814.8,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2014-M05,month,CH,country,all,agegroup_tick,all,814.7,171875.8,650696,8237666,9.89,0.003,1629.5,NA,rising,NA,NA,NA,NA,TRUE
consultations,2014-M06,month,CH,country,all,agegroup_tick,all,1102.2,171875.8,650696,8237666,13.38,0.004,2731.7,NA,rising,NA,NA,NA,NA,TRUE
consultations,2014-M07,month,CH,country,all,agegroup_tick,all,1773.6,171875.8,650696,8237666,21.53,0.006,4505.3,NA,rising,NA,NA,NA,NA,TRUE
consultations,2014-M08,month,CH,country,all,agegroup_tick,all,719.1,171875.8,650696,8237666,8.73,0.002,5224.4,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2014-M09,month,CH,country,all,agegroup_tick,all,958.9,171875.8,650696,8237666,11.64,0.003,6183.3,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2014-M10,month,CH,country,all,agegroup_tick,all,671.4,171875.8,650696,8237666,8.15,0.002,6854.7,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M11,month,CH,country,all,agegroup_tick,all,239.7,171875.8,650696,8237666,2.91,0.001,7094.4,NA,falling,NA,NA,NA,NA,TRUE
consultations,2014-M12,month,CH,country,all,agegroup_tick,all,95.6,171875.8,650696,8237666,1.16,0,7190,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M01,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M02,month,CH,country,all,agegroup_tick,all,0,163499.3,617045,8325194,0,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M03,month,CH,country,all,agegroup_tick,all,0,163499.3,617045,8325194,0,0,152.4,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M04,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,304.8,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2015-M05,month,CH,country,all,agegroup_tick,all,560.3,163499.3,617045,8325194,6.73,0.002,865.1,NA,rising,NA,NA,NA,NA,TRUE
consultations,2015-M06,month,CH,country,all,agegroup_tick,all,1171.4,163499.3,617045,8325194,14.07,0.004,2036.5,NA,rising,NA,NA,NA,NA,TRUE
consultations,2015-M07,month,CH,country,all,agegroup_tick,all,1374.5,163499.3,617045,8325194,16.51,0.004,3411,NA,rising,NA,NA,NA,NA,TRUE
consultations,2015-M08,month,CH,country,all,agegroup_tick,all,763.4,163499.3,617045,8325194,9.17,0.002,4174.4,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2015-M09,month,CH,country,all,agegroup_tick,all,560.3,163499.3,617045,8325194,6.73,0.002,4734.7,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M10,month,CH,country,all,agegroup_tick,all,509.5,163499.3,617045,8325194,6.12,0.002,5244.2,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M11,month,CH,country,all,agegroup_tick,all,356.3,163499.3,617045,8325194,4.28,0.001,5600.5,NA,falling,NA,NA,NA,NA,TRUE
consultations,2015-M12,month,CH,country,all,agegroup_tick,all,152.4,163499.3,617045,8325194,1.83,0,5752.9,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M01,month,CH,country,all,agegroup_tick,all,0,161379.7,603303,8419550,0,0,0,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M02,month,CH,country,all,agegroup_tick,all,104.4,161379.7,603303,8419550,1.24,0,104.4,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M03,month,CH,country,all,agegroup_tick,all,208.8,161379.7,603303,8419550,2.48,0.001,313.2,NA,rising,NA,NA,NA,NA,TRUE
consultations,2016-M04,month,CH,country,all,agegroup_tick,all,469.8,161379.7,603303,8419550,5.58,0.001,783,NA,rising,NA,NA,NA,NA,TRUE
consultations,2016-M05,month,CH,country,all,agegroup_tick,all,991,161379.7,603303,8419550,11.77,0.003,1774,NA,rising,NA,NA,NA,NA,TRUE
consultations,2016-M06,month,CH,country,all,agegroup_tick,all,2191.6,161379.7,603303,8419550,26.03,0.007,3965.6,NA,rising,NA,NA,NA,NA,TRUE
consultations,2016-M07,month,CH,country,all,agegroup_tick,all,2191.6,161379.7,603303,8419550,26.03,0.007,6157.2,NA,rising,NA,NA,NA,NA,TRUE
consultations,2016-M08,month,CH,country,all,agegroup_tick,all,1565.2,161379.7,603303,8419550,18.59,0.005,7722.4,NA,stagnant,NA,NA,NA,NA,TRUE
consultations,2016-M09,month,CH,country,all,agegroup_tick,all,1565.2,161379.7,603303,8419550,18.59,0.005,9287.6,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M10,month,CH,country,all,agegroup_tick,all,678.6,161379.7,603303,8419550,8.06,0.002,9966.2,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M11,month,CH,country,all,agegroup_tick,all,469.8,161379.7,603303,8419550,5.58,0.001,10436,NA,falling,NA,NA,NA,NA,TRUE
consultations,2016-M12,month,CH,country,all,agegroup_tick,all,52.2,161379.7,603303,8419550,0.62,0,10488.2,NA,falling,NA,NA,NA,NA,TRUE
consultations,2017-M01,month,CH,country,all,agegroup_tick,all,51.8,162932.8,576232,8484130,0.61,0,51.8,NA,falling,NA,NA,NA,NA,TRUE
