valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8176573,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,8176573,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_tick,all,1,8176573,0.01,1,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_tick,all,2,8176573,0.02,3,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_tick,all,19,8176573,0.23,22,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_tick,all,45,8176573,0.55,67,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_tick,all,59,8176573,0.72,126,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_tick,all,31,8176573,0.38,157,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_tick,all,24,8176573,0.29,181,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_tick,all,13,8176573,0.16,194,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_tick,all,8,8176573,0.1,202,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_tick,all,0,8176573,0,202,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8274608,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,8274608,0.01,1,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_tick,all,7,8274608,0.08,8,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_tick,all,8,8274608,0.1,16,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_tick,all,9,8274608,0.11,25,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_tick,all,30,8274608,0.36,55,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_tick,all,22,8274608,0.27,77,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_tick,all,10,8274608,0.12,87,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_tick,all,13,8274608,0.16,100,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_tick,all,7,8274608,0.08,107,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_tick,all,4,8274608,0.05,111,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_tick,all,1,8274608,0.01,112,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8362816,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,8362816,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_tick,all,0,8362816,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_tick,all,4,8362816,0.05,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_tick,all,19,8362816,0.23,23,NA,rising,NA,NA,NA,NA,NA,TRUE
