valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8176573,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_tick,all,1,8176573,0.01,1,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_tick,all,1,8176573,0.01,2,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_tick,all,2,8176573,0.02,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_tick,all,5,8176573,0.06,9,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_tick,all,6,8176573,0.07,15,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_tick,all,6,8176573,0.07,21,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_tick,all,3,8176573,0.04,24,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_tick,all,2,8176573,0.02,26,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_tick,all,2,8176573,0.02,28,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_tick,all,0,8176573,0,28,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_tick,all,2,8176573,0.02,30,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8274608,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_tick,all,0,8274608,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_tick,all,0,8274608,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_tick,all,0,8274608,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_tick,all,3,8274608,0.04,3,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_tick,all,5,8274608,0.06,8,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_tick,all,5,8274608,0.06,13,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_tick,all,9,8274608,0.11,22,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_tick,all,5,8274608,0.06,27,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_tick,all,4,8274608,0.05,31,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_tick,all,4,8274608,0.05,35,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_tick,all,4,8274608,0.05,39,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8362816,0,0,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8362816,0.02,2,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_tick,all,2,8362816,0.02,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_tick,all,1,8362816,0.01,5,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_tick,all,4,8362816,0.05,9,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CHFL,CHFL,all,agegroup_tick,all,6,8362816,0.07,15,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M07,month,CHFL,CHFL,all,agegroup_tick,all,5,8362816,0.06,20,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CHFL,CHFL,all,agegroup_tick,all,8,8362816,0.1,28,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CHFL,CHFL,all,agegroup_tick,all,4,8362816,0.05,32,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CHFL,CHFL,all,agegroup_tick,all,7,8362816,0.08,39,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CHFL,CHFL,all,agegroup_tick,all,8,8362816,0.1,47,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CHFL,CHFL,all,agegroup_tick,all,4,8362816,0.05,51,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8457360,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8457360,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CHFL,CHFL,all,agegroup_tick,all,2,8457360,0.02,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CHFL,CHFL,all,agegroup_tick,all,3,8457360,0.04,7,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M05,month,CHFL,CHFL,all,agegroup_tick,all,9,8457360,0.11,16,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M06,month,CHFL,CHFL,all,agegroup_tick,all,6,8457360,0.07,22,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M07,month,CHFL,CHFL,all,agegroup_tick,all,11,8457360,0.13,33,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M08,month,CHFL,CHFL,all,agegroup_tick,all,5,8457360,0.06,38,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CHFL,CHFL,all,agegroup_tick,all,5,8457360,0.06,43,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CHFL,CHFL,all,agegroup_tick,all,8,8457360,0.09,51,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CHFL,CHFL,all,agegroup_tick,all,5,8457360,0.06,56,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CHFL,CHFL,all,agegroup_tick,all,3,8457360,0.04,59,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CHFL,CHFL,all,agegroup_tick,all,2,8522244,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8522244,0.02,4,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CHFL,CHFL,all,agegroup_tick,all,6,8522244,0.07,10,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CHFL,CHFL,all,agegroup_tick,all,9,8522244,0.11,19,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CHFL,CHFL,all,agegroup_tick,all,12,8522244,0.14,31,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CHFL,CHFL,all,agegroup_tick,all,13,8522244,0.15,44,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CHFL,CHFL,all,agegroup_tick,all,18,8522244,0.21,62,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CHFL,CHFL,all,agegroup_tick,all,17,8522244,0.2,79,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M09,month,CHFL,CHFL,all,agegroup_tick,all,18,8522244,0.21,97,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CHFL,CHFL,all,agegroup_tick,all,22,8522244,0.26,119,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CHFL,CHFL,all,agegroup_tick,all,8,8522244,0.09,127,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CHFL,CHFL,all,agegroup_tick,all,10,8522244,0.12,137,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CHFL,CHFL,all,agegroup_tick,all,0,8582905,0,0,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CHFL,CHFL,all,agegroup_tick,all,2,8582905,0.02,2,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CHFL,CHFL,all,agegroup_tick,all,2,8582905,0.02,4,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CHFL,CHFL,all,agegroup_tick,all,7,8582905,0.08,11,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CHFL,CHFL,all,agegroup_tick,all,22,8582905,0.26,33,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CHFL,CHFL,all,agegroup_tick,all,26,8582905,0.3,59,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CHFL,CHFL,all,agegroup_tick,all,14,8582905,0.16,73,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CHFL,CHFL,all,agegroup_tick,all,11,8582905,0.13,84,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M09,month,CHFL,CHFL,all,agegroup_tick,all,6,8582905,0.07,90,NA,falling,NA,NA,NA,NA,NA,TRUE
